Tracked Vehicle,Type,Time[s],Latitude [deg],Longitude [deg],Speed[km / h],Distance[m]
1231.0,Bus,437.8,37.991134,23.735613,39.8027,0.0
,,438.8,37.991152,23.73549,39.609,10.963158510191235
,,439.8,37.991171,23.735367,39.3666,21.946887078933145
,,440.8,37.99119,23.735246,39.028,32.75870615110505
,,441.8,37.991209000000005,23.735125,38.7075,43.57064016818282
,,442.8,37.991229,23.735004999999997,39.3467,54.31813681584774
,,443.8,37.991248999999996,23.734883,37.4422,65.23784447246355
,,444.8,37.991267,23.734776999999998,31.6582,74.73922694543994
,,445.8,37.991281,23.734686,26.9138,82.86422447288452
,,446.8,37.991293,23.73461,22.0316,89.65669680665731
,,447.8,37.991302000000005,23.734548999999998,17.6201,95.0947286056659
,,448.8,37.991309,23.7345,13.8932,99.45802375782773
,,449.8,37.991314,23.734463,10.0624,102.7466030203793
,,450.8,37.991318,23.734438,5.8224,104.98210604999674
,,451.8,37.991319,23.734425,2.9555,106.12122433795142
,,452.8,37.99132,23.734417999999998,1.5055,106.74457613662703
,,453.8,37.99132,23.734415,1.3897,107.00250615165763
,,454.8,37.991322,23.734406,4.3573,107.81933631396532
,,455.8,37.991325,23.734389999999998,6.0244,109.25955129651713
,,456.8,37.991328,23.734370000000002,7.0884,111.04362780694893
,,457.8,37.991332,23.734346,7.7814,113.19316407437077
,,458.8,37.991336,23.734322,7.6583,115.34270676928404
,,459.8,37.99134,23.734299,7.6004,117.40630506673578
,,460.8,37.991344,23.734275,7.7663,119.55586329351023
,,461.8,37.991347999999995,23.734251,6.7498,121.70542681866891
,,462.8,37.99135,23.734235,3.5596,123.1239903316784
,,463.8,37.991352,23.734228,1.585,123.76905807471672
,,464.8,37.991352,23.734225,0.5093,124.02687705287401
,,465.8,37.991352,23.734225,0.302,124.02687705287401
,,466.8,37.991352,23.734226,0.013,123.94093502168738
,,467.8,37.991352,23.734226,0.0001,123.94093502168738
,,468.8,37.991352,23.734226,0.0,123.94093502168738
,,469.8,37.991352,23.734226,0.0,123.94093502168738
,,470.8,37.991352,23.734226,0.0,123.94093502168738
,,471.8,37.991352,23.734226,0.0,123.94093502168738
,,472.8,37.991352,23.734226,0.0,123.94093502168738
,,473.8,37.991352,23.734226,0.0,123.94093502168738
,,474.8,37.991352,23.734226,0.0,123.94093502168738
,,475.8,37.991352,23.734226,0.0,123.94093502168738
,,476.8,37.991352,23.734226,0.0,123.94093502168738
,,477.8,37.991352,23.734226,0.0,123.94093502168738
,,478.8,37.991352,23.734226,0.0,123.94093502168738
,,479.8,37.991352,23.734226,0.0,123.94093502168738
,,480.8,37.991352,23.734226,0.0,123.94093502168738
,,481.8,37.991352,23.734226,0.0,123.94093502168738
,,482.8,37.991352,23.734226,0.0,123.94093502168738
